* T-Spice 13.00 Simulation	Fri Sep 06 19:27:02 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 64                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 10                  Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 17      
*   Independent nodes - 280                  Boundary nodes - 11      
*         Total nodes - 291     


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-006   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>   v(BL_1)<V>   v(BL_2)<V>    v(Q_1)<V>    v(Q_2)<V>   v(QB_1)<V>   v(QB_2)<V>
 2.835092e-007  4.0000e-001  4.0000e-001  4.0000e-001  2.9914e-001  3.8861e-001  6.0369e-002  8.0954e-003
 2.845138e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.7277e-001  3.8862e-001  1.5648e-002  7.9587e-003
 2.850161e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.8281e-001  3.8865e-001  1.0628e-002  7.9885e-003
 2.863605e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.8917e-001  3.8865e-001  7.5695e-003  7.9848e-003
 2.914422e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.8834e-001  3.8865e-001  8.3125e-003  7.9868e-003
 2.939831e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.8874e-001  3.8865e-001  7.7725e-003  7.9853e-003
 3.000000e-007  4.0000e-001  4.0000e-001  4.0000e-001  3.8861e-001  3.8865e-001  8.1735e-003  7.9864e-003
 3.002881e-007  4.0000e-001  4.0000e-001  2.8475e-001  3.8859e-001  3.8822e-001  8.0418e-003  6.5273e-003
 3.010000e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8862e-001  2.9580e-001  8.0011e-003  4.3666e-002
 3.013559e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8863e-001  2.1653e-001  7.9940e-003  6.5349e-002
 3.015339e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8864e-001  1.7468e-001  7.9918e-003  7.5830e-002
 3.033135e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  1.3767e-002  7.9843e-003  3.1243e-001
 3.042034e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  7.8474e-003  7.9859e-003  3.8568e-001
 3.046483e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.2156e-003  7.9858e-003  3.8685e-001
 3.058331e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.5216e-003  7.9859e-003  3.8889e-001
 3.076869e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.1333e-003  7.9859e-003  3.8845e-001
 3.086138e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.4024e-003  7.9859e-003  3.8867e-001
 3.151074e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.2160e-003  7.9859e-003  3.8855e-001
 3.200000e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  5.3845e-003  7.9859e-003  3.8866e-001
 3.600000e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8818e-001  9.8638e-003  9.8967e-003  3.8820e-001
 3.614560e-007  4.0000e-001  0.0000e+000  0.0000e+000  9.1434e-002  6.7480e-003  1.1491e-001  3.8899e-001
 3.621840e-007  4.0000e-001  0.0000e+000  0.0000e+000  3.1090e-002  5.5572e-003  2.6456e-001  3.8855e-001
 3.625480e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.3897e-002  5.2938e-003  3.3315e-001  3.8850e-001
 3.633832e-007  4.0000e-001  0.0000e+000  0.0000e+000  6.9468e-003  5.3215e-003  3.8483e-001  3.8861e-001
 3.651209e-007  4.0000e-001  0.0000e+000  0.0000e+000  4.5357e-003  5.2940e-003  3.8938e-001  3.8860e-001
 3.676019e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.8433e-003  5.3139e-003  3.8840e-001  3.8861e-001
 3.688424e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.0166e-003  5.2997e-003  3.8848e-001  3.8860e-001
 3.751736e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.5681e-003  5.3102e-003  3.8873e-001  3.8861e-001
 3.783392e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.0872e-003  5.3009e-003  3.8849e-001  3.8860e-001
 3.800000e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.4592e-003  5.3082e-003  3.8870e-001  3.8861e-001
 3.810000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3241e-003  3.6233e-002  3.8862e-001  3.7790e-001
 3.815000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3093e-003  4.7041e-002  3.8861e-001  3.5406e-001
 3.817500e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3067e-003  5.3320e-002  3.8861e-001  3.4020e-001
 3.842500e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3040e-003  1.9539e-001  3.8860e-001  9.1506e-002
 3.855000e-007  4.0000e-001  0.0000e+000  4.0000e-001  5.3059e-003  3.4112e-001  3.8861e-001  2.2964e-002
